ID,CTYNAME,SEX,AGEGRP,IMPRACE,Asian,Black,Latino,Native American,Other,White,RESPOP,,
AM65,Anoka County,M,6,5,0,0,0,0,1,0,4,,
AM66,Anoka County,M,6,6,0,0,0,0,0,0,46,,
AM67,Anoka County,M,6,7,0,0,0,1,0,1,58,,
AM68,Anoka County,M,6,8,1,0,0,0,0,1,37,,
AM69,Anoka County,M,6,9,0,0,0,0,1,1,3,,
AM610,Anoka County,M,6,10,0,1,0,1,0,0,3,,
AM613,Anoka County,M,6,13,1,0,0,1,0,0,1,,
AM615,Anoka County,M,6,15,1,0,0,0,1,0,1,,
AM616,Anoka County,M,6,16,0,1,0,1,0,1,9,,
AM617,Anoka County,M,6,17,1,1,0,0,0,1,1,,
AM619,Anoka County,M,6,19,0,0,0,1,0,1,1,,
AM620,Anoka County,M,6,20,0,0,0,1,1,1,1,,
AM621,Anoka County,M,6,21,1,0,0,0,1,1,1,,
AM626,Anoka County,M,6,26,1,1,0,1,0,1,3,,
AM628,Anoka County,M,6,28,1,1,0,0,1,1,1,,
AM71,Anoka County,M,7,1,0,0,0,0,0,1,9158,,
AM72,Anoka County,M,7,2,0,1,0,0,0,0,613,,
AM73,Anoka County,M,7,3,0,0,0,1,0,0,74,,
AM74,Anoka County,M,7,4,1,0,0,0,0,0,525,,
AM75,Anoka County,M,7,5,0,0,0,0,1,0,5,,
AM76,Anoka County,M,7,6,0,0,0,0,0,0,49,,
AM77,Anoka County,M,7,7,0,0,0,1,0,1,44,,
AM78,Anoka County,M,7,8,1,0,0,0,0,1,50,,
AM79,Anoka County,M,7,9,0,0,0,0,1,1,1,,
AM710,Anoka County,M,7,10,0,1,0,1,0,0,1,,
AM711,Anoka County,M,7,11,1,1,0,0,0,0,1,,
AM716,Anoka County,M,7,16,0,1,0,1,0,1,8,,
AM719,Anoka County,M,7,19,0,0,0,1,0,1,2,,
AM720,Anoka County,M,7,20,0,0,0,1,1,1,1,,
AM722,Anoka County,M,7,22,1,1,0,1,0,0,1,,
AM726,Anoka County,M,7,26,1,1,0,1,0,1,1,,
AM81,Anoka County,M,8,1,0,0,0,0,0,1,9455,,
AM82,Anoka County,M,8,2,0,1,0,0,0,0,692,,
AM83,Anoka County,M,8,3,0,0,0,1,0,0,83,,
AM84,Anoka County,M,8,4,1,0,0,0,0,0,580,,
