City_ID,City,Country,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
114,Norman Wells,CA,65.28,28.4,92,75,9.17
115,Puri,IN,19.8,69.8,88,0,1.12
116,Sitka,US,37.17,67.36,58,0,7.4
117,Broome,AU,-17.97,77,73,0,8.05
118,Mnogovershinnyy,RU,53.94,26,77,64,2.04
119,Tasiilaq,GL,65.61,30.2,63,75,14.99
120,Alofi,NU,-19.06,75.2,88,75,9.17
121,Muros,ES,42.77,55.4,82,75,17.22
122,PEMEX,MX,18.44,80.5,96,0,3.6
123,Chokurdakh,RU,70.62,-3.48,64,20,4.72
124,Walla Walla,US,46.06,63.01,55,75,6.93
125,Nagorsk,RU,59.32,31,91,56,10.54
126,Ponta do Sol,CV,17.2,77.8,100,0,13.11
127,Namibe,AO,-15.19,77.71,92,0,9.64
128,Mamlyutka,KZ,54.94,47.92,65,8,17.58
129,Punta de Bombon,PE,-17.17,63.4,100,44,8.97
130,Bimbo,CF,4.33,77,94,12,2.24
131,Hithadhoo,MV,-0.6,81.53,100,68,15.79
132,Tiksi,RU,71.64,-1.45,80,56,3.6
133,Saldanha,ZA,-33.01,69.8,68,8,9.17
134,Sao Filipe,CV,14.9,80.23,93,0,11.99
135,Kabalo,CD,-6.05,78.43,77,44,4.94
136,Honiara,SB,-9.43,75.2,94,20,1.92
137,Tuktoyaktuk,CA,69.44,23,92,90,11.41
138,Ebeltoft,DK,56.2,46.4,87,92,6.93
139,Merauke,ID,-8.49,77.03,89,24,15.12
140,Kodiak,US,39.95,53.6,71,90,4.5
141,Sawakin,SD,19.1,80.72,88,0,6.06
142,Constitucion,MX,23.99,66.2,42,5,4.38
143,Korla,CN,41.76,26.63,77,0,3.38
144,Gamba,GA,-2.72,80.41,95,0,11.99
145,San,ML,13.3,86.71,62,8,2.71
146,Hihya,EG,30.67,68,52,0,11.41
147,Mocuba,MZ,-16.84,73.7,63,0,7.63
148,Naze,JP,28.37,74.74,100,88,9.98
149,Jamestown,SH,-15.94,68.17,100,0,10.42
150,Kavieng,PG,-2.57,79.96,100,88,9.19
151,Caravelas,BR,-17.73,78.2,99,0,21.83
152,Seymchan,RU,62.93,16.1,90,88,0.69
153,Port Alfred,ZA,-33.59,68.12,96,0,4.16
154,Fortuna,US,40.6,66.2,68,1,1.92
155,Charleston,US,38.35,51.8,87,90,9.17
156,Atambua,ID,-9.11,74.33,100,8,4.61
157,Hermanus,ZA,-34.42,75.28,53,0,6.62
158,Nanortalik,GL,60.14,35.77,95,92,53.49
159,Lorengau,PG,-2.02,82.75,100,80,2.59
160,Mamakan,RU,57.82,25.6,70,80,5.06
161,Porto Novo,CV,17.02,84.2,62,20,21.92
162,Maralal,KE,1.1,60.61,100,44,2.48
163,Griffith,AU,-34.29,48.64,82,0,2.93
164,Havre-Saint-Pierre,CA,50.23,33.8,64,90,17.22
165,Cherskiy,RU,68.75,-9.28,51,0,4.05
166,Poum,NC,-20.23,75.91,100,88,0.47
167,Tuy Hoa,VN,13.08,77.08,100,80,8.75
168,Saint-Prosper,CA,46.21,30.68,46,12,10.98
169,Ola,RU,59.58,39.2,100,90,8.95
170,Narsaq,GL,60.91,41,60,75,49.44
171,Sovetskiy,RU,56.76,31.67,92,56,12.77
172,Kapaa,US,22.08,77.18,83,90,21.92
173,Buala,SB,-8.15,75.95,100,92,2.93
174,Kaseda,JP,31.42,66.2,82,75,20.8
175,Itaguai,BR,-22.85,77.34,69,90,5.82
176,Chuy,UY,-33.69,65.02,88,92,18.59
177,Longyearbyen,SJ,78.22,23,57,75,9.17
178,Severo-Kurilsk,RU,50.68,42.34,100,44,15.46
179,Leeton,AU,-34.55,50.3,71,0,4.05
180,Dwarka,IN,28.58,69.8,60,20,2.71
181,Krasnyy Luch,RU,55.97,32.71,79,48,10.09
182,Sur,OM,22.57,83.11,90,8,10.98
183,Moses Lake,US,47.13,54.46,76,1,9.17
184,Udachnyy,RU,66.42,17.5,93,92,2.71
185,Haapiti,PF,-17.57,78.8,74,75,14.99
186,Sao Paulo de Olivenca,BR,-3.38,84.46,81,88,2.71
187,Johnson City,US,36.31,52.57,76,90,13.87
188,Peniche,PT,39.36,61.56,77,0,8.05
189,Magugu,TZ,-4.02,63.62,99,76,4.38
190,Rio Grande,BR,-32.03,73.4,69,40,16.11
191,Amahai,ID,-3.31,82.57,100,36,8.08
192,Cap Malheureux,MU,-19.98,71.6,73,40,2.24
193,Hobyo,SO,5.35,77.57,90,0,3.49
194,Boromo,BF,11.74,82.97,65,56,4.05
195,Hede,CN,33.77,42.16,64,0,6.73
196,Toamasina,MG,-18.17,69.8,88,20,2.24
197,Isangel,VU,-19.55,75.5,100,20,6.62
198,San Patricio,MX,19.22,87.8,70,75,9.17
199,Skegness,GB,53.14,44.6,75,40,18.34
200,Cabo San Lucas,MX,22.89,83.39,58,20,6.06
201,Iqaluit,CA,63.75,24.8,68,90,31.09
202,Souillac,MU,-20.52,71.6,73,40,2.24
203,Hami,CN,42.84,31.09,57,0,3.49
204,Dakar,SN,14.69,82.4,78,0,4.7
205,Gladstone,AU,-23.84,69.34,62,0,8.41
206,Bourg-en-Bresse,FR,46.21,56.08,82,0,1.12
207,Margate,ZA,-30.86,71.9,87,0,11.1
208,Ornskoldsvik,SE,63.29,31.19,92,90,6.93
209,Itarema,BR,-2.92,90.98,50,0,17.58
210,Bonito,BR,-1.36,86.03,88,20,13.78
211,Morro Agudo,BR,-20.73,84.2,51,75,8.05
212,Thompson,CA,55.74,30.2,80,90,2.24
213,Kurdzhinovo,RU,43.99,22.45,78,32,1.92
214,Muisne,EC,0.61,84.01,67,32,7.4
215,Flin Flon,CA,54.77,30.2,92,90,3.36
216,Sorland,NO,67.67,34.97,79,0,8.05
217,Saint-Joseph,RE,-21.37,68.83,73,75,4.7
218,Marion,US,38.35,56.41,76,40,8.05
219,Kieta,PG,-6.22,75.68,100,80,5.39
220,Conceicao do Araguaia,BR,-8.26,86.03,90,48,6.17
221,Vavuniya,LK,8.76,75.91,95,64,3.71
222,Maebaru,JP,33.55,60.67,63,75,10.29
223,Tilichiki,RU,60.47,26.27,91,92,2.71
224,Iguape,BR,-24.7,73.93,94,92,8.19
225,Wattegama,LK,7.35,70.51,99,88,2.71
226,Port Lincoln,AU,-34.72,58.09,97,92,7.74
227,North Bend,US,43.41,59.54,93,90,10.29
228,Praia,CV,14.92,84.2,66,20,18.34
229,Mitu,CO,1.2,84.82,78,48,3.04
230,Isla Mujeres,MX,21.23,86,62,40,4.7
231,Portland,AU,-33.35,45.49,89,64,1.03
232,Ambulu,ID,-8.35,75.91,100,56,3.6
233,Lebu,CL,-37.62,56.87,93,20,12.55
234,Halifax,CA,44.65,38.26,48,20,18.34
235,Staryy Nadym,RU,65.61,39.64,87,80,16.13
236,Dunedin,NZ,-45.87,39.55,95,88,2.71
237,Birjand,IR,32.86,64.4,27,75,9.17
238,Victoria,SC,-4.62,80.6,78,20,2.24
239,Miranda,BR,-20.24,84.37,79,48,7.18
240,Rafiganj,IN,24.82,62.6,88,0,8.05
241,Yeppoon,AU,-23.13,69.8,88,0,4.7
242,Bubaque,GW,11.28,87.8,70,0,4.7
243,Yar-Sale,RU,66.83,35.86,94,92,11.99
244,Ponta do Sol,PT,32.67,68,77,20,5.82
245,Santa Barbara,CO,4.88,60.8,77,75,4.7
246,Chicama,PE,-7.84,66.2,77,90,10.29
247,Beringovskiy,RU,63.05,16.33,100,0,10.98
248,Clyde River,CA,70.47,23,79,75,14.99
249,Vila Franca do Campo,PT,37.72,66.2,82,40,16.11
250,Hervey Bay,AU,-25.3,73.75,97,0,11.43
251,Jackville,CI,5.21,82.4,78,40,6.93
252,Port Hardy,CA,50.7,53.6,87,75,5.82
253,Plettenberg Bay,ZA,-34.05,65.11,97,64,9.75
254,Shuyskoye,RU,59.37,32.89,88,88,13.22
255,Solnechnyy,RU,50.72,30.64,91,36,3.71
256,Kungurtug,RU,50.6,5.8,66,8,2.48
257,Lenoir City,US,35.8,53.02,100,90,3.36
258,Kushalgarh,IN,23.2,73.07,57,64,3.38
259,Havelock,US,34.88,60.13,100,90,12.75
260,Palauig,PH,15.44,77.8,100,68,2.04
261,Ancud,CL,-41.87,55.52,95,92,10.09
262,Alpnach,CH,46.94,50.45,87,90,2.24
263,Lewisporte,CA,49.25,42.8,56,75,27.51
264,Ribeira Grande,PT,38.52,68,72,20,16.11
265,Kuryk,KZ,43.18,54.13,77,88,16.24
266,Alta Floresta,BR,-9.87,86.89,78,20,1.48
267,Karla,EE,59.37,35.6,93,75,2.24
268,Kaitangata,NZ,-46.28,42.65,87,88,3.6
269,Camargo,BO,-20.64,66.37,38,24,2.59
270,Mehamn,NO,71.03,37.54,80,75,26.4
271,Kota Kinabalu,MY,5.98,78.8,94,75,3.36
272,Kuusamo,FI,65.96,26.6,92,90,8.05
273,Sakrand,PK,26.14,77,61,8,4.7
274,Akcakoca,TR,41.09,37.66,91,24,2.04
275,Lingao,CN,19.91,73.39,100,24,3.38
276,Luba,GQ,3.46,78.8,78,40,2.24
277,Winnemucca,US,40.97,68,22,1,4.7
278,Ambilobe,MG,-13.19,74.33,55,0,5.17
279,Ballina,AU,-28.87,69.97,100,100,10.76
280,Roald,NO,62.58,32.05,100,40,13.44
281,Port Blair,IN,11.67,83.29,100,8,7.18
282,Thinadhoo,MV,0.53,83.29,100,80,16.46
283,Bawku,GH,11.06,85.67,63,0,2.93
284,Cravo Norte,CO,6.3,89,83,20,4.16
285,Pitimbu,BR,-7.47,84.2,66,40,13.87
286,Viransehir,TR,37.24,46.84,92,8,9.64
287,Rosoman,MK,41.52,44.6,70,0,2.24
288,Delta del Tigre,UY,-34.76,65.46,77,90,11.41
289,Atar,MR,20.52,100.4,17,92,9.17
290,Alghero,IT,40.56,64.4,88,0,3.36
291,Steamboat Springs,US,40.48,50.05,49,75,4.05
292,Pinawa,CA,50.15,49.9,93,76,9.64
293,Grand Baie,MU,-20.02,71.6,73,40,2.24
294,Gangakher,IN,18.95,68.71,53,0,4.05
295,Takapau,NZ,-40.02,44.63,87,0,3.04
296,Isiro,CD,2.77,72.58,94,48,2.48
297,Puerto Leguizamo,CO,-0.19,74.83,99,92,3.04
298,Uray,RU,60.13,52.69,76,92,15.23
299,Baiao,BR,-2.79,88.28,65,32,2.71
300,Tynda,RU,55.15,18.76,64,88,4.5
301,Ridgecrest,US,35.62,75.2,16,1,3.71
302,Acapulco,MX,16.86,86,74,40,9.17
303,Kutum,SD,14.2,78.7,23,0,12.66
304,Mecca,SA,21.43,76.58,52,0,3.04
305,Luino,IT,46,60.8,77,75,1.12
306,Vao,NC,-22.67,72.76,100,0,7.4
307,Wanning,CN,18.8,77.75,100,8,9.42
308,Belmonte,BR,-26.84,73.03,91,92,6.06
309,Fairbanks,US,64.84,31.37,80,75,3.36
310,Elizabeth City,US,36.3,53.71,93,90,13.87
311,Quatis,BR,-22.41,68.89,93,92,1.03
312,Tiznit,MA,29.7,64.7,100,92,5.61
313,Teahupoo,PF,-17.83,78.8,74,75,14.99
314,Hay River,CA,60.82,42.8,70,20,8.05
315,Ossora,RU,59.24,37.07,93,92,7.63
316,San-Pedro,CI,4.75,78.7,91,24,9.42
317,Nishihara,JP,35.74,60.39,93,90,5.82
318,Padang,ID,-0.92,81.8,100,76,1.03
319,Sechura,PE,-5.56,73.52,79,0,11.54
320,Batagay,RU,67.65,3.46,81,76,2.59
321,Lander,US,42.83,53.67,52,1,17.22
322,Bafq,IR,31.6,70.37,30,0,6.96
323,Rocha,UY,-34.48,64.21,73,92,13
324,Kruisfontein,ZA,-34,65.38,84,8,6.62
325,Edson,CA,53.59,35.6,74,75,3.36
326,Cayenne,GF,4.94,87.8,62,75,13.87
327,Gazanjyk,TM,39.24,68.53,44,56,2.48
328,Serenje,ZM,-13.23,72.58,37,8,9.53
329,Sola,VU,-13.88,77.44,100,92,9.98
330,Nipawin,CA,53.36,32,97,90,5.82
331,Saint-Augustin,CA,45.63,39.83,44,20,10.29
332,Kyabe,TD,9.45,85.45,47,32,6.96
333,Rio Gallegos,AR,-51.62,59,54,40,14.99
334,Oktyabrskiy,RU,55.61,35.15,69,75,4.47
335,Anadyr,RU,64.73,-0.41,84,0,2.24
336,Agadez,NE,16.97,95,28,44,8.41
337,Imeni Poliny Osipenko,RU,52.42,30.23,79,88,6.73
338,Matay,EG,28.42,68.48,48,0,9.08
339,Stromness,GB,58.97,41,75,40,31.09
340,Tutoia,BR,-2.76,91.4,43,20,14.99
341,Is,RU,58.79,46.7,66,64,12.66
342,Ponta Delgada,PT,37.73,66.2,82,40,16.11
343,Bremerton,US,38.4,52.75,76,1,4.7
344,Zhigansk,RU,66.77,15.34,86,88,4.94
345,Dourbali,TD,11.81,89.41,35,32,7.4
346,Honningsvag,NO,70.98,39.2,100,75,23.04
347,Cardston,CA,49.2,51.8,57,1,14.99
348,Ahipara,NZ,-35.17,57.32,99,32,11.1
349,Novouzensk,RU,50.46,39.37,79,0,10.2
350,Erzin,RU,50.26,10.07,64,0,2.71
351,Berlevag,NO,70.86,32,100,75,18.34
352,Mahina,PF,-17.51,78.8,74,75,14.99
353,Tura,RU,64.27,21.91,89,88,2.37
354,Lakes Entrance,AU,-37.88,50.35,100,12,7.4
355,Taywarah,AF,33.35,29.74,75,0,1.36
356,Ghatampur,IN,26.16,67.67,58,0,2.71
357,Gambela,ET,8.25,66.28,87,12,2.71
358,Taoudenni,ML,22.68,81.8,19,24,7.63
359,Owosso,US,43,49.98,61,90,8.05
360,Seoul,KR,37.57,49.26,57,40,20.8
361,Tadine,NC,-21.55,72.53,100,44,3.6
362,Imbituba,BR,-28.24,69.8,100,90,3.36
363,Belem de Sao Francisco,BR,-8.75,98.5,25,0,5.61
364,Huarmey,PE,-10.07,73.66,52,0,4.72
365,Churapcha,RU,62,14.89,81,76,2.59
366,Torbay,CA,47.66,46.4,91,75,29.97
367,Mount Gambier,AU,-37.83,51.07,90,80,4.5
368,Yumen,CN,40.29,31,66,0,7.63
369,Te Anau,NZ,-45.41,39.91,82,88,5.5
370,Neuquen,AR,-38.95,60.8,72,40,5.82
371,Katangli,RU,51.71,42.79,95,44,15.46
372,Genhe,CN,50.78,20.2,70,88,15.23
373,Sterling,US,39,47.68,70,90,4.7
374,Zhireken,RU,52.82,14.8,70,8,3.04
375,Labuhan,ID,-2.54,71.27,99,64,1.59
376,Mumbwa,ZM,-14.99,76.22,27,64,11.99
377,Zaraza,VE,9.35,90.98,55,8,10.76
378,Touros,BR,-5.2,86.44,64,12,15.12
379,Riyadh,SA,24.63,82.4,24,0,4.7
380,Puerto del Rosario,ES,28.5,71.6,88,40,8.05
381,North Platte,US,41.12,68,28,1,16.11
382,Coihueco,CL,-36.63,71.6,37,20,5.82
383,Tecoanapa,MX,16.99,86,74,40,9.17
384,Mount Isa,AU,-20.73,71.6,43,0,6.51
385,Celle,DE,52.62,48.2,93,20,10.29
386,Upernavik,GL,72.79,18.4,100,0,19.15
387,Manama,BH,26.22,86,62,0,9.17
388,Tromso,NO,69.65,26.6,92,0,1.12
389,Turukhansk,RU,65.8,33.43,96,92,13.56
390,Midsalip,PH,8.03,73.66,84,24,3.38
391,Kholmy,UA,51.87,35.68,89,0,9.53
392,Saint George,BM,32.38,73.4,53,40,9.17
393,Komsomolskiy,RU,67.55,32.12,99,92,12.21
394,Phalombe,MW,-15.81,74.56,40,0,6.17
395,Grootfontein,NA,-19.56,70.15,43,80,9.98
396,Vaasa,FI,63.1,30.2,92,12,8.05
397,Saint-Pierre,PM,46.77,41,100,75,29.97
398,Sorong,ID,-0.86,81.76,100,0,14.79
399,Limulunga,ZM,-15.13,84.1,24,68,11.1
400,Olinda,BR,-22.82,77.45,88,90,12.75
401,San Cristobal,EC,-1.02,69.65,100,76,3.15
402,Trat,TH,12.25,79.69,100,8,4.61
403,Albanel,CA,48.88,30.2,42,40,18.34
404,San Juan,US,26.19,76.42,57,1,8.05
405,Tuatapere,NZ,-46.13,46.12,100,88,7.96
406,Vokhtoga,RU,58.81,29.83,82,68,14.23
407,Saint-Leu,RE,-21.15,68.86,73,75,4.7
408,Hofn,IS,64.25,30.2,50,20,25.28
409,The Valley,AI,18.22,83.34,69,40,5.82
410,Ciudad Bolivar,VE,8.12,99.8,32,0,12.66
411,Tlacotepec,MX,18.96,68,52,75,4.7
412,Santa Cruz de la Palma,ES,28.68,69.8,83,20,5.82
413,Gazalkent,UZ,41.57,68,28,0,9.17
414,Okato,NZ,-39.19,53.18,100,68,6.96
415,Pontes e Lacerda,BR,-15.23,90.62,77,0,5.17
416,Djibo,BF,14.1,93.68,28,0,7.18
417,Okha,RU,53.59,28.25,91,64,4.38
418,Ndende,GA,-2.4,76.13,86,48,2.48
419,Agde,FR,43.31,58.35,82,0,11.41
420,Bady Bassitt,BR,-20.92,84.2,58,40,4.7
421,Ust-Nera,RU,64.57,12.1,93,80,2.04
422,Guntakal,IN,15.16,72.94,76,0,5.5
423,Rawson,AR,-43.3,67.72,58,48,18.59
424,Road Town,VG,18.42,83.61,66,40,5.61
425,Khandbari,NP,27.38,36.49,84,68,0.58
426,Homer,US,59.64,44.49,81,90,5.82
427,Surt,LY,31.21,68.48,100,0,8.97
428,Cairns,AU,-16.92,68,94,20,7.07
429,Tarakan,ID,3.3,80.59,100,20,1.92
430,Marquette,US,46.54,45.19,93,90,8.05
431,Roebourne,AU,-20.77,69.38,83,0,10.65
432,Aklavik,CA,68.22,22.96,92,90,11.41
433,Evanston,US,42.04,51.39,62,90,5.82
434,Shenjiamen,CN,29.96,64.66,91,0,24.85
435,Sakassou,CI,7.45,86,74,20,4.7
436,Hamilton,BM,32.3,73.4,53,40,9.17
437,Klaksvik,FO,62.23,35.6,69,24,26.4
438,Gravdal,NO,59.79,41.99,75,20,5.82
439,Tautira,PF,-17.73,78.8,74,75,14.99
440,Maragogi,BR,-9.01,84.05,72,0,11.43
441,Kousseri,CM,12.08,86,55,20,3.36
442,Titiribi,CO,6.06,74.08,57,75,6.93
443,Deputatskiy,RU,69.3,-10.86,69,56,2.93
444,Severo-Yeniseyskiy,RU,60.37,38.38,84,88,8.63
445,Krasnoye,RU,44.87,48.2,87,40,11.18
446,Jatiroto,ID,-7.61,80.32,91,100,9.98
447,Lavrentiya,RU,65.58,33.79,100,8,29.21
448,Gatesville,US,31.44,68.99,56,1,6.93
449,Srandakan,ID,-7.94,69.07,95,12,2.15
450,Tigil,RU,57.8,34.15,90,92,3.15
451,Rognan,NO,67.1,30.2,74,0,13.87
452,Georgetown,US,33.38,60.57,100,90,5.82
453,Obo,CF,5.39,73.21,91,36,3.38
454,Kushiro,JP,43.11,47.33,87,80,8.52
455,Kirakira,SB,-10.46,83.47,100,20,4.72
456,Tignere,CM,7.37,73.52,67,64,6.62
457,Sao Joao da Barra,BR,-21.64,77,83,90,11.41
458,Tbilisi,GE,41.69,50,66,40,28.86
459,Abilene,US,32.45,72.12,49,1,6.62
460,Conde,BR,-11.81,85.81,67,0,10.54
461,Beaverlodge,CA,55.21,32,70,90,3.36
462,Andreapol,RU,56.65,34.78,92,88,8.75
463,San Andres,CO,8.22,89.6,66,40,6.93
464,Inongo,CD,-1.93,76.63,91,20,1.59
465,Elko,US,40.83,62.6,33,1,4.7
466,Mayo,CA,63.59,30.2,86,40,3.36
467,Izumo,JP,35.37,62.6,82,75,11.41
468,Kirksville,US,40.19,52.66,72,20,6.96
469,Santa Fe,US,35.69,54.23,41,1,6.93
470,Tokur,RU,53.13,28.52,76,92,2.15
471,High Level,CA,58.52,42.8,70,5,2.24
472,Aquin,HT,18.28,82.88,100,0,14
473,Urzhum,RU,57.11,32.53,94,20,12.44
474,Panzhihua,CN,26.59,51.88,74,0,3.94
475,Collie,AU,-33.36,53.9,82,0,10.65
476,Whitianga,NZ,-36.83,59.08,100,0,4.05
477,Kalmunai,LK,7.42,74.38,100,92,3.94
478,Byron Bay,AU,-28.65,68,82,100,6.93
479,Nouadhibou,MR,20.93,71.6,83,40,18.34
480,Port-Cartier,CA,50.03,32,100,90,19.46
481,Campbellton,CA,48,30.91,76,80,14.12
482,Talnakh,RU,69.49,24.79,84,80,13.22
483,Fengrun,CN,39.83,35.9,37,0,9.53
484,Fuyu,CN,47.79,32.12,85,92,18.81
485,Namatanai,PG,-3.66,76.58,100,92,12.1
486,Nelson Bay,AU,-32.72,60.8,87,90,6.17
